budget_n,cluster_id,transfer_id,source,target,species,drug,predicted_delta_prauc_hybrid_random,observed_delta_prauc_hybrid_random,selected_alpha,policy_choice,oracle_choice,prauc_random,prauc_hybrid,prauc_policy,prauc_oracle,policy_correct_direction,regret_prauc,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,0.0085920461507249,-0.0050686985786888,100.0,hybrid,random,0.8223826741326077,0.8173139755539188,0.8173139755539188,0.8223826741326077,False,0.0050686985786888,0.9994880764472504,0.9185713529586792,0.7998564673671007,13.192700684478954,8.246063873002587
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Cefepime,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,0.0086201379340724,-0.0031515107964697,100.0,hybrid,random,0.8173271707840132,0.8141756599875434,0.8141756599875434,0.8173271707840132,False,0.0031515107964698,0.9992330012161036,0.9226214289665222,0.8059718127041214,13.249262015580628,8.242995247984123
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Ciprofloxacin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,0.0086182457290481,0.0024395372024628,100.0,hybrid,hybrid,0.9214243650982448,0.9238639023007076,0.9238639023007076,0.9238639023007076,True,0.0,0.999393809866133,0.9011023640632628,0.7968549406103177,13.086288299293544,8.171675860109836
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Clindamycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,0.0086045200090094,-0.0099197169775247,100.0,hybrid,random,0.6527003082626652,0.6427805912851404,0.6427805912851404,0.6527003082626652,False,0.0099197169775248,0.9995516150692678,0.9042452573776244,0.7971723828110981,13.281214346275984,8.251635692115048
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Erythromycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,0.0086322614879013,-0.0210053577071537,100.0,hybrid,random,0.586289330008988,0.5652839723018341,0.5652839723018341,0.586289330008988,False,0.0210053577071538,0.9993873836028844,0.8977175951004028,0.8084371524301323,13.253133959254155,8.245121218407762
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Fusidic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,0.0086264841381696,-0.01053216039565,100.0,hybrid,random,0.7103991520018385,0.6998669916061883,0.6998669916061883,0.7103991520018385,False,0.0105321603956501,0.9994082378883687,0.893692672252655,0.7946105959498119,13.130813639479332,8.16495491566287
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Oxacillin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,0.0086131788100351,-0.005545494605923,100.0,hybrid,random,0.8194686485177125,0.8139231539117894,0.8139231539117894,0.8194686485177125,False,0.0055454946059231,0.9994717760798378,0.8974229097366333,0.796219232488808,13.085826600466952,8.165518407337048
50,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.0144444266688638,-0.0053586326481626,1.0,hybrid,random,0.3401563687153393,0.3347977360671765,0.3347977360671765,0.3401563687153393,False,0.0053586326481627,0.9942364575474862,0.4535341262817383,0.6427631261622219,10.64051394575224,8.379811144072734
50,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Cefepime,DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.0145196658546958,0.0085982721572287,1.0,hybrid,hybrid,0.4377737978808977,0.4463720700381264,0.4463720700381264,0.4463720700381264,True,0.0,0.9921129807534242,0.510299563407898,0.6352050586154934,10.800730241159233,8.362169704076459
50,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftazidime,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.0158614490988242,0.0055683026153356,1.0,hybrid,hybrid,0.3148273439315777,0.3203956465469134,0.3203956465469134,0.3203956465469134,True,0.0,0.992367858607974,0.4452377259731293,0.6480576985783254,10.65829632380156,8.374368254993032
