method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
knn_400,confidence,0.3,0.2994579945799458,0.6848050233830918,15.052356467905089,0.6883802816901409,0.12096198648944359,0.049214190625418416,5.730322583505578,221,8,0.03619909502262444
knn_400,confidence,0.4,0.3997289972899729,0.6699351722671403,14.708880535505585,0.5108885017421603,0.029686415993704675,0.045664951494117395,1.60168184069833,295,8,0.02711864406779661
knn_400,confidence,0.5,0.5,0.6568541447665203,14.862899479349133,0.580532212885154,0.05423492614329588,0.050875802698139704,2.2341759595200554,369,12,0.032520325203252036
knn_400,confidence,0.6,0.6002710027100271,0.6442741572951595,14.80970929515281,0.6487090367428004,0.09897383483570367,0.058873767941955445,3.550116850856476,443,19,0.04288939051918736
knn_400,confidence,0.7,0.7005420054200542,0.6318825650317013,14.797276436579295,0.6204013377926422,0.06737501610601782,0.061768453573638984,2.6285247703903165,517,23,0.04448742746615087
knn_400,confidence,0.8,0.7994579945799458,0.6195155718523442,14.69130494679637,0.5729557522123894,0.04997144207974895,0.06271707976039323,1.4680311942291482,590,25,0.0423728813559322
knn_400,confidence,0.9,0.8997289972899729,0.6060013453854015,14.742715656610137,0.5971054374968149,0.07128726338124343,0.06722359214971088,1.7346526883759237,664,31,0.046686746987951805
knn_400,confidence,1.0,1.0,0.5870393099779059,14.853826896436816,0.6478986597613465,0.12149160559116379,0.07441645204723685,2.1307608287876545,738,41,0.05555555555555555
knn_400,support,0.2,0.2005420054200542,0.6026474946079803,10.214986595044264,0.6625000000000001,0.09095620240248184,0.0714397250400923,2.565241248197046,148,8,0.05405405405405406
knn_400,support,0.3,0.2994579945799458,0.6011590403900098,10.780631123419802,0.6912997903563941,0.07652760768039359,0.06396025833938271,2.6250712823005555,221,9,0.04072398190045249
knn_400,support,0.4,0.3997289972899729,0.5936393002211678,11.284105791746562,0.6581087951194713,0.1062432428334249,0.06895169332356793,2.3245951108949563,295,14,0.04745762711864407
knn_400,support,0.5,0.5,0.5925380916687962,11.752070942978227,0.6522662889518414,0.11742289524300997,0.0666709421395286,2.5523680284144143,369,16,0.04336043360433604
knn_400,support,0.6,0.6002710027100271,0.5899500737511455,12.230222102072654,0.6482696897374702,0.12789653419337743,0.0731098267705047,2.4158843842233533,443,24,0.05417607223476298
knn_400,support,0.7,0.7005420054200542,0.5887361636455963,12.721482952697135,0.673305954825462,0.1518894271245385,0.07493494157984343,2.6986686568841134,517,30,0.058027079303675046
knn_400,support,0.8,0.7994579945799458,0.5862647935053429,13.237688749972035,0.6818453838202493,0.1446071562235174,0.07412413254125035,2.7543748759929687,590,33,0.05593220338983051
knn_400,support,0.9,0.8997289972899729,0.5862089522014616,13.855886829965803,0.6420104314841157,0.11773690117508637,0.0747131238924331,2.138296563000732,664,37,0.05572289156626506
knn_400,support,1.0,1.0,0.5870393099779059,14.853826896436816,0.6478986597613465,0.12149160559116379,0.07441645204723686,2.1307608287876545,738,41,0.05555555555555555
knn_400,combined,0.2,0.2005420054200542,0.6673698003391914,11.169849099178572,0.5678160919540229,0.048290598290598286,0.04150351136629242,1.737180507148351,148,3,0.02027027027027027
knn_400,combined,0.3,0.2994579945799458,0.6540885554029591,11.629783759327495,0.5947930574098799,0.05585511754531329,0.050773847661029194,1.8968167074200726,221,7,0.03167420814479638
