cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,pooled,100,0.677 [0.656-0.697],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,pooled,200,0.679 [0.656-0.699],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,pooled,400,0.682 [0.655-0.705],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,recal,25,0.746 [0.619-0.820],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,recal,50,0.807 [0.792-0.822],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,recal,100,0.807 [0.792-0.822],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,recal,200,0.807 [0.792-0.822],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,recal,400,0.807 [0.792-0.822],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,finetune,25,0.790 [0.771-0.808],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,finetune,50,0.792 [0.773-0.811],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,finetune,100,0.792 [0.776-0.806],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,finetune,200,0.798 [0.778-0.816],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,finetune,400,0.805 [0.785-0.823],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,local,25,0.536 [0.503-0.567],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,local,50,0.580 [0.549-0.609],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,local,100,0.616 [0.592-0.640],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,local,200,0.708 [0.693-0.724],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,local,400,0.738 [0.719-0.759],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,pooled,25,0.803 [0.787-0.818],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,pooled,50,0.812 [0.795-0.828],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,pooled,100,0.808 [0.795-0.820],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,pooled,200,0.810 [0.794-0.824],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,auroc,pooled,400,0.814 [0.795-0.831],0.807 [0.792-0.822]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,recal,25,-0.176 [-2.566-1.175],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,recal,50,0.998 [0.863-1.125],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,recal,100,0.898 [0.751-1.050],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,recal,200,0.977 [0.848-1.134],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,recal,400,0.977 [0.847-1.130],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,finetune,25,0.558 [0.523-0.593],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,finetune,50,0.579 [0.529-0.637],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,finetune,100,0.593 [0.550-0.635],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,finetune,200,0.605 [0.564-0.644],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,finetune,400,0.657 [0.599-0.714],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,local,25,0.061 [-0.008-0.119],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,local,50,0.176 [0.104-0.249],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,local,100,0.273 [0.195-0.345],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,local,200,0.459 [0.414-0.504],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,local,400,0.523 [0.451-0.603],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,pooled,25,0.717 [0.675-0.758],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,pooled,50,0.729 [0.681-0.776],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,pooled,100,0.732 [0.694-0.768],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,pooled,200,0.740 [0.694-0.789],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-C,egim,pooled,400,0.764 [0.708-0.818],0.742 [0.697-0.792]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,recal,25,0.492 [0.447-0.523],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,recal,50,0.513 [0.498-0.528],0.513 [0.498-0.528]
Escherichia coli/Ciprofloxacin,DRIAMS-D,prauc,recal,100,0.513 [0.497-0.528],0.513 [0.498-0.528]
