rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
5,source_plus_target,0.01,10,2,369,20,0.7143266475644698,0.2171834890398714,0.05391817770084989,0.39002552356713904,369,20,0.05420054200542006
5,target_only,0.025,10,4,369,20,0.5,0.05420054200542006,0.17084010840108407,0.9951853409413904,369,20,0.05420054200542006
5,source_plus_target,0.025,10,4,369,20,0.683810888252149,0.2571289205995096,0.051141803682846015,0.38192808078900703,369,20,0.05420054200542006
5,target_only,0.05,18,2,369,20,0.5,0.05420054200542006,0.0545016561276724,1.1166529628026691,369,20,0.05420054200542006
5,source_plus_target,0.05,18,2,369,20,0.641404011461318,0.22308849140316234,0.0500686964897994,0.33825269425581056,369,20,0.05420054200542006
5,target_only,0.1,37,3,369,20,0.5,0.05420054200542006,0.05198540663273688,1.0069306484167524,369,20,0.05420054200542006
5,source_plus_target,0.1,37,3,369,20,0.6785100286532951,0.22231929406947512,0.04881657627889435,0.36501093099856435,369,20,0.05420054200542006
5,target_only,0.2,74,2,369,20,0.61189111747851,0.09121506687542974,0.05419569334694325,0.48848954091404634,369,20,0.05420054200542006
5,source_plus_target,0.2,74,2,369,20,0.6886819484240687,0.21382625763361807,0.049463266981848567,0.3608654484761853,369,20,0.05420054200542006
5,target_only,0.5,184,8,369,20,0.48896848137535814,0.0582375058294974,0.05419613458919879,-0.04079779487763742,369,20,0.05420054200542006
